l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
2,-1,0,2,-3,0,4,-25,0,-0.000894883579030094,0.0006883901588102036,0.00020647831277513108,-1.510744475938068e-08,0.7202177084676679,1,25,0.7202177084676679,9843.440335295727
4,3,0,6,1,0,10,-75,0,-0.0017407293441252403,0.0015742472041819552,0.00016596667464444597,-5.154652988391493e-07,14.3902731551866,1,75,14.3902731551866,4630.283826649762
5,3,0,0,5,0,5,-49,0,-0.001790781810623974,0.0016579761203197167,0.00013275472070829768,-5.096959595964762e-08,5.900060979773268,1,49,5.900060979773268,15360.77101214957
3,0,0,5,-3,0,6,-45,0,-0.001168345950483926,0.0009983082697128877,0.00016991193198986196,-1.2574878117629397e-07,4.330753968707601,1,45,4.330753968707601,5851.636535466502
1,6,0,5,-48,0,6,3,0,-0.0019747070189232627,0.0001352841924500546,0.0018395688730973574,1.4604662414933328e-07,11.213864152663618,1,48,11.213864152663618,39934.81871314281
2,3,0,4,-43,0,4,2,0,-0.0016105693803172012,0.00012247863144825867,0.0014879160161311994,-1.747327377430146e-07,5.277977478562654,1,43,5.277977478562654,39180.61146346422
4,-2,0,1,-8,0,3,-3,0,-0.0010543285503157793,0.0001942497109787832,0.0008601000555226912,2.1216185695002027e-08,-0.7556970742971432,1,8,0.7556970742971432,30633.903142533494
6,3,0,2,3,0,8,-43,0,-0.0018395688730973574,0.0016105693803172012,0.0002287957695175847,-2.0372326257141367e-07,6.364754547568351,1,43,6.364754547568351,7148.055907590788
1,2,0,5,-3,0,6,-40,0,-0.0011876060720696538,0.0009983082697128877,0.00018914786463755057,-1.4993771921549721e-07,4.72982071276993,1,40,4.72982071276993,5966.709582767792
4,3,0,2,3,0,6,-59,0,-0.0017407293441252403,0.0016105693803172012,0.00013045017378240814,2.902099743690677e-07,7.869591474439332,1,59,7.869591474439332,3537.0797249554876
4,4,0,4,3,0,6,-30,0,-0.001988761015099475,0.0017407293441252403,0.00024801099008676274,-2.0680887471719728e-08,3.0824663672279353,1,30,3.0824663672279353,36965.6766736195
6,-1,0,6,-4,0,10,-43,0,-0.0013005434184394844,0.0010207625668623673,0.0002799349543130685,1.5410273595129614e-07,4.45923998716037,1,43,4.45923998716037,8100.391715552809
5,2,0,2,2,0,7,-61,0,-0.0015302335921351087,0.0013846263257445758,0.00014587559709580093,2.6833070526795753e-07,7.049344960227789,1,61,7.049344960227789,3831.2053365030406
6,2,0,3,2,0,5,-49,0,-0.0015790857886420345,0.0014462919592611418,0.00013275472070829768,-3.91086725950833e-08,0.9902593221750312,1,49,0.9902593221750312,3359.048995916448
6,4,0,3,4,0,9,-68,0,-0.002095241425916125,0.0019293062769633813,0.00016579316114123026,-1.4198781151351925e-07,11.216726181914353,1,68,11.216726181914353,13059.014871852694
6,1,0,3,2,0,9,-89,0,-0.0015742472041819552,0.0014462919592611418,0.00012729009480025305,-6.651501205602508e-07,15.177015829175543,1,89,15.177015829175543,2866.5228698518536
3,1,0,3,-3,0,6,-16,0,-0.0012998983166993359,0.0008601000555226912,0.0004397944387268562,-3.8224497885507025e-09,0.1556858941424477,1,16,0.1556858941424477,17912.529334402407
4,4,0,6,3,0,10,-83,0,-0.001988761015099475,0.0018395688730973574,0.00015035158616663616,1.1594441645186755e-06,23.219405456557137,1,83,23.219405456557137,3008.76877985852
2,0,0,5,-19,0,5,-7,0,-0.0010448703139708233,0.0003179164889532733,0.0007269291638669737,-2.4661150576288024e-08,0.8080738194091035,1,19,0.8080738194091035,23819.223044977523
0,5,0,5,-51,0,5,2,0,-0.0016579761203197167,0.00012717146769865612,0.0015302335921351087,-5.710604859517424e-07,12.30751025173014,1,51,12.30751025173014,32170.373350970847
6,2,0,3,2,0,7,-67,0,-0.0015790857886420345,0.0014462919592611418,0.00013286029493083618,6.64655499433859e-08,1.4475549959798504,1,67,1.4475549959798504,2870.5685897357257
1,2,0,6,-4,0,7,-53,0,-0.0011876060720696538,0.0010207625668623673,0.00016719563727975024,3.5213207246376395e-07,9.636569105062025,1,53,9.636569105062025,4575.412990732174
3,-6,0,23,-93,0,24,-101,0,-0.0005767572162567792,0.00029369550545227217,0.00028306495134717966,3.240542672633233e-09,-0.1801768677555699,1,101,0.1801768677555699,165.7266558108676
4,5,0,4,4,0,6,-30,0,-0.0022367954459129313,0.001988761015099475,0.00024801099008676274,-2.3440726693458452e-08,3.014799578612177,1,30,3.014799578612177,31897.53916290654
2,2,0,5,-1,0,7,-72,0,-0.0013846263257445758,0.0012600188347770935,0.0001240841530366385,-5.233379308437845e-07,12.071108122734602,1,72,12.071108122734602,2860.8605944392048
2,2,0,1,-19,0,3,1,0,-0.0013846263257445758,8.478197882193453e-05,0.0012998983166993359,5.3969776694570704e-08,1.261273318846365,1,19,1.261273318846365,29902.97166790876
3,1,0,3,0,0,4,-40,0,-0.0012998983166993359,0.001168345950483926,0.00013149003482230205,-6.233139310772573e-08,1.444890944089645,1,40,1.444890944089645,3048.0293171815374
6,5,0,3,5,0,5,-35,0,-0.0023528837416548717,0.002171276389406632,0.00018154353681713907,-6.381543110048002e-08,2.413764507732445,1,35,2.413764507732445,6866.716938598114
0,3,0,6,-46,0,6,-4,0,-0.0011860096719051476,0.0001658491582042889,0.0010207625668623673,6.02053161508553e-07,14.761419057996328,1,46,14.761419057996328,25026.851120879197
6,-4,0,3,-3,0,9,-70,0,-0.0010207625668623673,0.0008601000555226912,0.0001606908738737961,2.836253411991896e-08,0.8072436366795745,1,70,0.8072436366795745,4054.973235912646
5,5,0,4,4,0,9,-35,0,-0.0022961841876560085,0.001988761015099475,0.0003071330084927401,-2.901640637933793e-07,5.826812375486975,1,35,5.826812375486975,6167.566971971824
6,5,0,1,7,0,5,-47,0,-0.0023528837416548717,0.002215705167770865,0.00013747047152902394,2.918976450172646e-07,3.9761643200167995,1,47,3.9761643200167995,1872.5822137742496
5,3,0,4,2,0,7,-28,0,-0.001790781810623974,0.0014879160161311994,0.0003028334263225402,-3.2368170234386984e-08,1.8738220934383412,1,28,1.8738220934383412,17531.29006087474
3,5,0,5,4,0,8,-78,0,-0.002171276389406632,0.002043085918592437,0.00012953795953121356,1.3474887170183102e-06,18.485013852065947,1,78,18.485013852065947,1776.4659778580276
4,3,0,3,2,0,7,-29,0,-0.0017407293441252403,0.0014462919592611418,0.00029464873190250665,2.1134703840817136e-07,4.088205986150066,1,29,4.088205986150066,5699.557913905362
5,5,0,6,4,0,11,-68,0,-0.0022961841876560085,0.002095241425916125,0.00019984972263766102,-1.0930391022225157e-06,13.196945372399014,1,68,13.196945372399014,2412.7826320452386
2,3,0,3,2,0,5,-39,0,-0.0016105693803172012,0.0014462919592611418,0.00016394205719909158,-3.3536385696773807e-07,6.171213783535812,1,39,6.171213783535812,3016.7867103666745
6,-4,0,6,-8,0,8,-35,0,-0.0010207625668623673,0.0007442847839762188,0.0002765520420631755,7.425917702692623e-08,1.8608083038019367,1,35,1.8608083038019367,6929.914932188417
3,2,0,6,-1,0,9,-77,0,-0.0014462919592611418,0.0013005434184394844,0.00014665727219660975,9.087313749523394e-07,16.043440256410776,1,77,16.043440256410776,2587.591610698414
6,1,0,3,2,0,9,-88,0,-0.0015742472041819552,0.0014462919592611418,0.00012879400515107412,8.387602302606552e-07,13.739273012579767,1,88,13.739273012579767,2099.023724373615
1,5,0,2,3,0,3,-33,0,-0.001734103264389586,0.0016105693803172012,0.00012331138400346338,-2.2250006892141072e-07,4.511604791690063,1,33,4.511604791690063,2500.368636086843
4,4,0,6,3,0,10,-85,0,-0.001988761015099475,0.0018395688730973574,0.0001469651267722732,-2.2270152298443403e-06,29.27402292782151,1,85,29.27402292782151,1930.757546332016
0,4,0,6,-63,0,6,-1,0,-0.00142210207358038,0.0001223973685225449,0.0013005434184394844,8.387133816492934e-07,14.717283553448727,1,63,14.717283553448727,22799.775669980645
3,5,0,5,4,0,8,-80,0,-0.002171276389406632,0.002043085918592437,0.0001266562241138362,-1.53424670035901e-06,18.617712928214917,1,80,18.617712928214917,1536.5178830361247
0,7,0,4,-40,0,4,4,0,-0.0021204201710575787,0.00013149003482230205,0.001988761015099475,-1.6912113580186058e-07,7.914853677584799,1,40,7.914853677584799,22715.181257574794
