l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
3,5,0,5,4,0,8,-85,0,-0.0018791792959005039,0.0017666927178038535,0.00011347931059900889,9.927325023584722e-07,16.906041480604106,1,85,16.906041480604106,1931.6844947408151
3,2,0,6,-1,0,7,-67,0,-0.001257209295342265,0.0011309737734404898,0.00012638582450737607,1.5030260560092677e-07,3.1069347619272887,1,67,3.1069347619272887,2610.7837469186843
4,4,0,6,2,0,10,-93,0,-0.0017201142970912078,0.0015907002056791103,0.0001279368787101503,-1.4772127019471466e-06,24.28948975602163,1,93,24.28948975602163,2102.3239029564375
3,4,0,5,3,0,8,-79,0,-0.0016697023644453982,0.001548847611724769,0.0001218377790376064,9.830263169772167e-07,17.197630782752977,1,79,17.197630782752977,2131.300016250776
5,-1,0,4,-2,0,5,-45,0,-0.0010910354688303623,0.0009543833025544501,0.00013668032463660137,2.8158360689152506e-08,0.6315586638794475,1,45,0.6315586638794475,3065.1891604049833
1,6,0,5,3,0,6,-45,0,-0.0017098504656313984,0.001548847611724769,0.00016116491013727394,1.6205623064465512e-07,7.292733244249598,1,45,7.292733244249598,7252.594843457903
5,5,0,3,5,0,8,-91,0,-0.0019862555038104063,0.0018791792959005039,0.00010616212177811373,-9.140861317886301e-07,11.60089333205006,1,91,11.60089333205006,
1,6,0,6,2,0,7,-72,0,-0.0017098504656313984,0.0015907002056791103,0.00011805337396983043,-1.0968859824576644e-06,16.996217029921755,1,72,16.996217029921755,1829.1608657478023
5,5,0,4,4,0,9,-39,0,-0.0019862555038104063,0.0017201142970912078,0.0002662476568484346,1.0645012923611932e-07,5.1541524885531675,1,39,5.1541524885531675,12891.278017377565
4,5,0,6,4,0,8,-78,0,-0.0019351014156810539,0.0018116043345837844,0.00012356841545458554,7.133435731606491e-08,7.5146868276375915,1,78,7.5146868276375915,12899.388878731475
4,5,0,6,4,0,10,-95,0,-0.0019351014156810539,0.0018116043345837844,0.00012537430614151615,1.8772250442466477e-06,22.503739033718336,1,95,22.503739033718336,1501.4804215299887
3,2,0,6,-1,0,9,-85,0,-0.001257209295342265,0.0011309737734404898,0.0001266799841760754,4.4446227430027137e-07,7.766863300660366,1,85,7.766863300660366,2208.5548802207763
2,2,0,3,-34,0,5,-1,0,-0.00120515078399613,0.00011378624394402568,0.0010910354688303623,-3.290712217421301e-07,5.91628283367001,1,34,5.91628283367001,19614.687423333467
1,7,0,5,-58,0,6,4,0,-0.0019182614902478053,0.00010711006755046775,0.0018116043345837844,4.529118864467392e-07,9.324435183791861,1,58,9.324435183791861,17024.10410543485
6,5,0,3,5,0,9,-69,0,-0.0020351783964062515,0.0018791792959005039,0.00015527071195507443,-7.283885506731598e-07,7.724565246257141,1,69,7.724565246257141,1646.542304745413
3,2,0,5,-2,0,8,-46,0,-0.001257209295342265,0.0010518133842167875,0.0002055080585508004,1.1214742532284633e-07,2.0116804205226404,1,46,2.0116804205226404,3686.269827726335
5,-1,0,5,-3,0,8,-49,0,-0.0010910354688303623,0.0008972818064209853,0.00019380043101930276,4.6768609925779137e-08,0.8994286344652913,1,49,0.8994286344652913,3725.9984402592117
3,5,0,4,4,0,7,-53,0,-0.0018791792959005039,0.0017201142970912078,0.00015885342501683692,-2.115737924592541e-07,9.108809979704617,1,53,9.108809979704617,6838.747957256311
