l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,gamma_a,gamma_b,gamma_c,delta,kappa,mu_a,mu_b,mu_c,mu_max,E_th_over_E_star,E_eq_over_E_star,E_th_ceiling_over_E_star,detuning_dominated,refine
4,1,0,4,0,0,8,-66,0,-0.0014359092136756813,0.0012845713174545576,0.00015116222564479328,-3.8279507645249305e-09,-1.8170845521393968e-08,1.5354998893494147e-08,-1.7567057633040284e-07,3.058318629793801,24992.379314844595,22244.925672428235,2621.6472225824914,24992.379314844595,0.0,0.0,1.0619672182949787e-09,True,1
3,7,0,6,4,0,9,-31,0,-0.0025508556724188006,0.0022093157464766807,0.0003420798375917046,-1.900343509302829e-07,-8.528980162562377e-07,7.690460703507277e-11,5.399116495847373e-07,5.601215684855808,24962.296754326802,12259.30529353654,3548.8453228002127,24962.296754326802,0.0,0.0,7.683791222626165e-10,True,1
4,5,0,6,4,0,10,-85,0,-0.0023571474246888826,0.0022093157464766807,0.00014510166145037336,-7.6357234915651e-07,-8.528980162562377e-07,1.23248650656384e-07,-2.7300167618283036e-06,29.993187639713575,24939.542402488612,23168.20769011059,1592.5298098064068,24939.542402488612,0.0,0.0,1.6152331613277755e-09,True,1
1,4,0,3,-31,0,4,1,0,-0.0015644708523005883,0.00012865138222662467,0.0014359092136756813,-9.777106988026456e-08,8.095782674020297e-11,-3.8279507645249305e-09,8.974360171773617e-08,1.5147967669244577,17856.81473003661,2171.52660280525,24214.92565501712,24214.92565501712,0.0,0.0,1.187508781875679e-09,False,1
4,2,0,3,1,0,7,-37,0,-0.0015653896810087025,0.0013339725695560981,0.00023164403830670916,-9.699438676341113e-08,-8.884923906284113e-09,3.174302787680919e-10,2.269268541048395e-07,3.8007876838342933,24108.723095352685,22325.54091634663,3879.7917942953322,24108.723095352685,0.0,0.0,7.210021427542565e-10,True,1
5,4,0,6,3,0,11,-62,0,-0.0021542255236564572,0.0019398395214352587,0.00021569279600135648,-8.099594176837719e-07,-5.11030322157432e-07,1.093192994346767e-08,1.3067937801578867e-06,17.15441636591867,24036.25883732381,23715.599880613092,2831.322451249646,24036.25883732381,0.0,0.0,8.66843700779823e-10,True,1
1,5,0,6,2,0,7,-53,0,-0.001826233191021668,0.0016598048850307147,0.00016536390998198814,-3.2731828388966784e-07,-1.6369989094870238e-07,3.452153715839208e-09,-1.0643960089650427e-06,14.637428574027393,24004.731233034636,22560.159252302077,2274.0499496279062,24004.731233034636,0.0,0.0,1.2040905378742118e-09,True,1
4,2,0,6,-1,0,10,-63,0,-0.0015653896810087025,0.0013704000046100727,0.00019405098922045644,-9.699438676341113e-08,-3.37504123438315e-08,1.2275672854452845e-08,-9.386871781733291e-07,14.23577224954692,23614.3724866231,20769.543924378624,2942.6517825844853,23614.3724866231,0.0,0.0,1.0218720338177614e-09,True,1
5,5,0,3,5,0,8,-76,0,-0.0024198285278438287,0.002287100982825212,0.0001313660770305507,-6.484047692647287e-07,-8.175078322448832e-07,4.667700575270647e-08,-1.361467988065905e-06,14.560937206950445,23365.571931565544,20970.535531673948,1404.138790795247,23365.571931565544,0.0,0.0,1.8186438428699813e-09,True,1
6,2,0,3,2,0,7,-63,0,-0.0016598048850307147,0.0015200389411412969,0.00013943531048518084,-1.6369989094870238e-07,-7.245981903674689e-08,1.2146547353556903e-08,-3.3063340423703826e-07,5.19305365884446,23362.811034411752,23320.840730894077,2188.5475171327157,23362.811034411752,0.0,0.0,1.1953645505471832e-09,True,1
4,4,0,6,3,0,10,-80,0,-0.002096571188862388,0.0019398395214352587,0.00015403475474924202,-7.370465798437274e-07,-5.11030322157432e-07,7.581165242517786e-08,-2.6969126778872074e-06,30.483839439690342,22859.72550294569,21543.116936850598,1740.4036268380748,22859.72550294569,0.0,0.0,1.6371554998128348e-09,True,1
4,1,0,3,-18,0,3,0,0,-0.0014359092136756813,0.00021596113880140434,0.0012199596092063406,-3.8279507645249305e-09,5.115942301463893e-12,-9.023582563482672e-09,1.153433206368612e-08,0.19256803926762464,22752.53180827914,3605.515147013508,16041.706935890166,22752.53180827914,0.0,0.0,8.510899061679426e-10,True,1
5,5,0,6,4,0,11,-63,0,-0.0024198285278438287,0.0022093157464766807,0.00021197005205791616,-6.484047692647287e-07,-8.528980162562377e-07,1.2163521939083093e-08,1.4572706907682587e-06,14.98247991567663,22730.241894256462,19603.667674877604,2179.2289141815786,22730.241894256462,0.0,0.0,1.2625854352078576e-09,True,1
5,4,0,5,3,0,10,-45,0,-0.0021542255236564572,0.001888070159604537,0.00026703873590349167,-8.099594176837719e-07,-4.2601459945553765e-07,1.0034148912188742e-09,8.833718515713698e-07,11.747724101512985,21115.930205155804,22616.309776438546,3551.273865487299,22616.309776438546,0.0,0.0,7.009180781082063e-10,True,1
6,-1,0,3,0,0,9,-74,0,-0.0013704000046100727,0.0012199596092063406,0.00015080655488950665,-3.37504123438315e-08,-9.023582563482672e-09,3.111456968058931e-08,3.6615948577453823e-07,5.958474826786373,22206.24197094051,19846.24890179947,2445.2467434496953,22206.24197094051,0.0,0.0,1.282876080305146e-09,True,1
