l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
0,5,2,-11,2,2,-0.0014376844518621038,0.00023508466203479812,0.00120515078399613,2.550994168824339e-06,0.0017743769611754964
0,6,2,-11,2,3,-0.0016373163861810895,0.00023508466203479812,0.001398386150657986,-3.845573488305389e-06,0.0023487051865857668
0,7,2,-11,2,4,-0.001837851339960868,0.00023508466203479812,0.0016007680175258506,-1.998660400219336e-06,0.0010874984046652502
0,8,2,-11,2,5,-0.002045386024107556,0.00023508466203479812,0.0018048401012071306,-5.461260865627284e-06,0.002670039201040373
0,6,2,-10,2,3,-0.0016373163861810895,0.00026021194582393907,0.001398386150657986,2.1281710300835675e-05,0.012997921770314395
0,7,2,-10,2,4,-0.001837851339960868,0.00026021194582393907,0.0016007680175258506,2.3128623388921727e-05,0.012584599682264937
0,8,2,-10,2,5,-0.002045386024107556,0.00026021194582393907,0.0018048401012071306,1.9666022923513563e-05,0.009614822185995063
0,4,2,-8,2,0,-0.0012318460189154454,0.0003139937701005735,0.0009222738100286834,4.4215612138114296e-06,0.003589378173827526
0,5,2,-7,2,1,-0.0014376844518621038,0.00036548534635848706,0.0010519899754354604,-2.0209130068156314e-05,0.014056721585867637
0,4,2,-6,2,-1,-0.0012318460189154454,0.00040248240442231087,0.0008049596223678302,-2.440399212530432e-05,0.019810911226380658
0,5,2,-6,2,1,-0.0014376844518621038,0.00040248240442231087,0.0010519899754354604,1.6787927995667385e-05,0.011677060271413164
0,7,2,-5,2,3,-0.001837851339960868,0.0004634079549251735,0.001398386150657986,2.394276562229158e-05,0.0130275855841536
0,8,2,-5,2,4,-0.002045386024107556,0.0004634079549251735,0.0016007680175258506,1.878994834346795e-05,0.009186504709626337
0,4,2,-4,2,-3,-0.0012318460189154454,0.0005659996358194934,0.0006544435404762507,-1.1402842619701427e-05,0.009256711021188213
0,6,2,-4,2,1,-0.0016373163861810895,0.0005659996358194934,0.0010519899754354604,-1.9326774926135696e-05,0.011803934223863638
0,5,2,-3,2,-1,-0.0014376844518621038,0.0006544435404762507,0.0008049596223678302,2.1718710981977066e-05,0.01510673009911651
0,7,2,-3,2,2,-0.001837851339960868,0.0006544435404762507,0.00120515078399613,2.1742984511512837e-05,0.01183065465565664
0,8,2,-3,2,3,-0.002045386024107556,0.0006544435404762507,0.001398386150657986,7.443667026680624e-06,0.0036392480142854447
0,6,2,-2,2,0,-0.0016373163861810895,0.0007354285692045151,0.0009222738100286834,2.038599305210901e-05,0.012450857527699775
0,7,2,-1,2,1,-0.001837851339960868,0.0008049596223678302,0.0010519899754354604,1.9098257842422488e-05,0.010391622775555467
0,7,2,0,2,0,-0.001837851339960868,0.0009222738100286834,0.0009222738100286834,6.696280096498775e-06,0.003643537402019335
2,2,0,1,2,-4,-0.00120515078399613,0.0006390285330416885,0.0005659996358194934,-1.2261513494815635e-07,0.00010174256746660348
2,3,0,1,2,-2,-0.001398386150657986,0.0006390285330416885,0.0007354285692045151,-2.3929048411782403e-05,0.01711190317533037
2,7,0,1,2,3,-0.0020529873759919655,0.0006390285330416885,0.001398386150657986,-1.5572692292290923e-05,0.007585381417538667
2,2,0,2,2,-7,-0.00120515078399613,0.0008237876227291485,0.00036548534635848706,-1.5877814908494495e-05,0.013174961274012234
2,2,0,2,2,-6,-0.00120515078399613,0.0008237876227291485,0.00040248240442231087,2.1119243155329204e-05,0.017524150036479603
2,3,0,2,2,-4,-0.001398386150657986,0.0008237876227291485,0.0005659996358194934,-8.598892109344149e-06,0.00614915422703385
2,6,0,2,2,2,-0.0020022479995732987,0.0008237876227291485,0.00120515078399613,2.6690407151979886e-05,0.013330220411091886
2,7,0,2,2,2,-0.0020529873759919655,0.0008237876227291485,0.00120515078399613,-2.4048969266686916e-05,0.011714134021436395
2,2,0,3,2,-17,-0.00120515078399613,0.001025482836392379,0.0001574463929714064,-2.2221554632344612e-05,0.018438816891161704
2,2,0,3,2,-16,-0.00120515078399613,0.001025482836392379,0.000164141180292411,-1.5526767311339982e-05,0.012883671916849403
