l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
0,4,2,-14,2,1,-0.00142210207358038,0.00019644874332665755,0.0011992510625692902,-2.640226768443237e-05,0.018565662883790218
0,1,2,-13,2,-5,-0.000738948454077827,0.00021328352758161109,0.0005139207856115777,-1.1744140884638213e-05,0.01589304479876658
0,2,2,-13,2,-2,-0.0009538753378151529,0.00021328352758161109,0.0007709839009291044,3.0392090695562568e-05,0.031861700885542875
0,4,2,-13,2,1,-0.00142210207358038,0.00021328352758161109,0.0011992510625692902,-9.567483429478779e-06,0.006727705139611418
0,8,2,-13,2,6,-0.002359676960396333,0.00021328352758161109,0.002122306963237751,-2.4086469576971043e-05,0.010207528395295882
0,1,2,-12,2,-5,-0.000738948454077827,0.00022661345866183688,0.0005139207856115777,1.5857901955875853e-06,0.002146009220043064
0,4,2,-12,2,1,-0.00142210207358038,0.00022661345866183688,0.0011992510625692902,3.762447650747019e-06,0.002645694511417473
0,8,2,-12,2,6,-0.002359676960396333,0.00022661345866183688,0.002122306963237751,-1.0756538496745245e-05,0.004558479265288317
0,1,2,-11,2,-5,-0.000738948454077827,0.00024159830799367046,0.0005139207856115777,1.6570639527421186e-05,0.022424621685013964
0,2,2,-11,2,-3,-0.0009538753378151529,0.00024159830799367046,0.0006883901588102036,-2.3886871011278817e-05,0.025041921165496937
0,4,2,-11,2,1,-0.00142210207358038,0.00024159830799367046,0.0011992510625692902,1.874729698258062e-05,0.013182806867991663
0,8,2,-11,2,6,-0.002359676960396333,0.00024159830799367046,0.002122306963237751,4.228310835088355e-06,0.001791902411242836
0,2,2,-10,2,-3,-0.0009538753378151529,0.00026814142169328853,0.0006883901588102036,2.656242688339229e-06,0.002784685359853564
0,3,2,-10,2,-1,-0.0011860096719051476,0.00026814142169328853,0.000894883579030094,-2.2984671181765096e-05,0.019379834520947582
0,5,2,-10,2,2,-0.0016579761203197167,0.00026814142169328853,0.0013846263257445758,-5.208372881852384e-06,0.0031414040395515617
0,6,2,-10,2,3,-0.0018886592089966776,0.00026814142169328853,0.0016105693803172012,-9.948406986187881e-06,0.005267444194695573
0,7,2,-10,2,4,-0.0021204201710575787,0.00026814142169328853,0.0018458787080848657,-6.400041279424479e-06,0.003018289189463992
0,8,2,-10,2,5,-0.002359676960396333,0.00026814142169328853,0.0020671941991908453,-2.4341339512198943e-05,0.010315538915170216
0,8,2,-10,2,6,-0.002359676960396333,0.00026814142169328853,0.002122306963237751,3.0771424534706184e-05,0.013040524212067483
0,1,2,-9,2,-6,-0.000738948454077827,0.0003021884453905382,0.00042506408290257934,-1.1695925784709462e-05,0.01582779654002447
0,3,2,-9,2,-1,-0.0011860096719051476,0.0003021884453905382,0.000894883579030094,1.1062352515484519e-05,0.009327371249607518
0,5,2,-9,2,2,-0.0016579761203197167,0.0003021884453905382,0.0013846263257445758,2.883865081539723e-05,0.017393887922726
0,6,2,-9,2,3,-0.0018886592089966776,0.0003021884453905382,0.0016105693803172012,2.4098616711061734e-05,0.012759642711754107
0,7,2,-9,2,4,-0.0021204201710575787,0.0003021884453905382,0.0018458787080848657,2.7646982417825136e-05,0.01303844530211008
0,8,2,-9,2,5,-0.002359676960396333,0.0003021884453905382,0.0020671941991908453,9.705684185050672e-06,0.004113141056147151
