t_yr,E_P,E_Q,E_c,E_d
15.960660467505619,3.4091126383139733e-09,3.4091126383139733e-09,2.6155685712438557e-07,8.641965830855694e-08
15.967627146016097,3.4091126383139733e-09,3.4091126383139733e-09,2.555128382107174e-07,9.10817585211252e-08
15.974593824526576,3.4091126383139733e-09,3.4091126383139733e-09,2.489711951582357e-07,9.584955014279924e-08
15.981560503037052,3.4091126383139733e-09,3.4091126383139733e-09,2.419433955046931e-07,1.0069955737762758e-07
15.98852718154753,3.4091126383139733e-09,3.4091126383139733e-09,2.3444653862799687e-07,1.0560435899649666e-07
15.99549386005801,3.4091126383139733e-09,3.4091126383139733e-09,2.2650368397316093e-07,1.105325681943392e-07
16.00246053856849,3.4091126383139733e-09,3.4091126383139733e-09,2.181440698677803e-07,1.1544892392238769e-07
16.009427217078965,3.4091126383139733e-09,3.4091126383139733e-09,2.0940319727518286e-07,1.2031451124624953e-07
16.016393895589445,3.4091126383139733e-09,3.4091126383139733e-09,2.0032275439378146e-07,1.2508712457868837e-07
16.02336057409992,3.4091126383139733e-09,3.4091126383139733e-09,1.9095036194356382e-07,1.297217836348877e-07
16.0303272526104,3.4091126383139733e-09,3.4091126383139733e-09,1.813391248449207e-07,1.341714047667397e-07
16.037293931120878,3.4091126383139733e-09,3.4091126383139733e-09,1.715469830141522e-07,1.383876235994942e-07
16.044260609631355,3.4091126383139733e-09,3.4091126383139733e-09,1.6163586484214362e-07,1.423217542883912e-07
16.051227288141835,3.4091126383139733e-09,3.4091126383139733e-09,1.5167065610223916e-07,1.459258626736272e-07
16.058193966652315,3.4091126383139733e-09,3.4091126383139733e-09,1.4171801029456906e-07,1.4915391973697453e-07
16.06516064516279,3.4091126383139733e-09,3.4091126383139733e-09,1.3184503528401552e-07,1.5196299392024338e-07
16.072127323673268,3.4091126383139733e-09,3.4091126383139733e-09,1.2211790412293154e-07,1.5431443333047e-07
16.079094002183748,3.4091126383139733e-09,3.4091126383139733e-09,1.1260044275507208e-07,1.5617498507382446e-07
16.086060680694228,3.4091126383139733e-09,3.4091126383139733e-09,1.0335275427599021e-07,1.5751779805658342e-07
16.093027359204704,3.4091126383139733e-09,3.4091126383139733e-09,9.442993852128804e-08,1.5832325785222064e-07
16.099994037715184,3.4091126383139733e-09,3.4091126383139733e-09,8.588096447503954e-08,1.5857961011229438e-07
16.10696071622566,3.4091126383139733e-09,3.4091126383139733e-09,7.774774384139898e-08,1.5828333787593233e-07
16.113927394736137,3.4091126383139733e-09,3.4091126383139733e-09,7.006444469706491e-08,1.574392726954893e-07
16.120894073246617,3.4091126383139733e-09,3.4091126383139733e-09,6.285706977541921e-08,1.5606043214668794e-07
16.127860751757098,3.4091126383139733e-09,3.4091126383139733e-09,5.6143309356488425e-08,1.5416759464186713e-07
16.134827430267574,3.4091126383139733e-09,3.4091126383139733e-09,4.993266301169991e-08,1.517886336936209e-07
16.14179410877805,3.4091126383139733e-09,3.4091126383139733e-09,4.422681002642049e-08,1.489576492110314e-07
16.14876078728853,3.4091126383139733e-09,3.4091126383139733e-09,3.902019700007217e-08,1.4571394019760656e-07
16.15572746579901,3.4091126383139733e-09,3.4091126383139733e-09,3.430080036239117e-08,1.4210087225884945e-07
16.162694144309487,3.4091126383139733e-09,3.4091126383139733e-09,3.005101769574556e-08,1.3816469233161902e-07
16.169660822819964,3.4091126383139733e-09,3.4091126383139733e-09,2.6248638236595687e-08,1.3395334360010655e-07
16.176627501330444,3.4091126383139733e-09,3.4091126383139733e-09,2.2867845523578732e-08,1.2951532768126434e-07
16.18359417984092,3.4091126383139733e-09,3.4091126383139733e-09,1.988020809232626e-08,1.248986542205829e-07
16.1905608583514,3.4091126383139733e-09,3.4091126383139733e-09,1.7255621709670283e-08,1.2014990897039314e-07
16.197527536861877,3.4091126383139733e-09,3.4091126383139733e-09,1.496317339484903e-08,1.1531346172025251e-07
16.204494215372357,3.4091126383139733e-09,3.4091126383139733e-09,1.2971906308957886e-08,1.1043082623756526e-07
16.211460893882833,3.4091126383139733e-09,3.4091126383139733e-09,1.125147224879865e-08,1.0554017488773157e-07
16.218427572393313,3.4091126383139733e-09,3.4091126383139733e-09,9.772666324131496e-09,1.0067600382732346e-07
16.225394250903793,3.4091126383139733e-09,3.4091126383139733e-09,8.507844473140996e-09,9.586893799100284e-08
16.23236092941427,3.4091126383139733e-09,3.4091126383139733e-09,7.431229692132346e-09,9.114566132060743e-08
