l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
0,16,0,1,-13,1,1,15,-1,-0.004442519754188167,0.00012421068509566594,0.004295690809337045,-2.261825975545615e-05,-1.0639515284145324,1,16,1.0639515284145324,163.958772550615
0,17,0,1,-13,-1,1,16,1,-0.004706014722882456,0.00012421068509566594,0.00455968102508798,-2.2123012698810514e-05,-1.0574999150847995,1,17,1.0574999150847995,170.3851981721582
0,17,0,1,-13,0,1,16,0,-0.004706014722882456,0.00012421068509566594,0.00455968102508798,-2.2123012698810514e-05,1.0574999150847995,1,17,1.0574999150847995,170.3851981721582
0,17,0,1,-13,1,1,16,-1,-0.004706014722882456,0.00012421068509566594,0.00455968102508798,-2.2123012698810514e-05,-1.0574999150847995,1,17,1.0574999150847995,170.3851981721582
0,18,0,1,-13,-1,1,17,1,-0.0049693743676990434,0.00012421068509566594,0.004823167543880964,-2.1996138722413586e-05,-1.0450878795453558,1,18,1.0450878795453558,174.6242963581696
0,18,0,1,-13,0,1,17,0,-0.0049693743676990434,0.00012421068509566594,0.004823167543880964,-2.1996138722413586e-05,1.0450878795453558,1,18,1.0450878795453558,174.6242963581696
0,18,0,1,-13,1,1,17,-1,-0.0049693743676990434,0.00012421068509566594,0.004823167543880964,-2.1996138722413586e-05,-1.0450878795453558,1,18,1.0450878795453558,174.6242963581696
0,19,0,1,-13,-1,1,18,1,-0.005233627846213401,0.00012421068509566594,0.005087181893000314,-2.2235268117421284e-05,-1.0279421334824552,1,19,1.0279421334824552,174.9274474490583
0,19,0,1,-13,0,1,18,0,-0.005233627846213401,0.00012421068509566594,0.005087181893000314,-2.2235268117421284e-05,1.0279421334824552,1,19,1.0279421334824552,174.9274474490583
0,19,0,1,-13,1,1,18,-1,-0.005233627846213401,0.00012421068509566594,0.005087181893000314,-2.2235268117421284e-05,-1.0279421334824552,1,19,1.0279421334824552,174.9274474490583
0,20,0,1,-13,-1,1,19,1,-0.005499828254476584,0.00012421068509566594,0.0053527772990706515,-2.284027031026689e-05,-1.0077748965884108,1,20,1.0077748965884108,169.52308983141424
0,20,0,1,-13,0,1,19,0,-0.005499828254476584,0.00012421068509566594,0.0053527772990706515,-2.284027031026689e-05,1.0077748965884108,1,20,1.0077748965884108,169.52308983141424
0,20,0,1,-13,1,1,19,-1,-0.005499828254476584,0.00012421068509566594,0.0053527772990706515,-2.284027031026689e-05,-1.0077748965884108,1,20,1.0077748965884108,169.52308983141424
0,1,0,1,-12,-1,1,-2,1,-0.000738948454077827,0.0001317052176195001,0.0006023269048774995,-4.916331580827457e-06,-0.1994709538186093,1,12,0.1994709538186093,24.438287013648342
0,1,0,1,-12,0,1,-2,0,-0.000738948454077827,0.0001317052176195001,0.0006023269048774995,-4.916331580827457e-06,0.1994709538186093,1,12,0.1994709538186093,24.438287013648342
0,1,0,1,-12,1,1,-2,-1,-0.000738948454077827,0.0001317052176195001,0.0006023269048774995,-4.916331580827457e-06,-0.1994709538186093,1,12,0.1994709538186093,24.438287013648342
0,4,0,1,-12,-1,1,3,1,-0.00142210207358038,0.0001317052176195001,0.0012725407985733764,-1.7856057387503508e-05,-0.5205385572422598,1,12,0.5205385572422598,37.097000817956314
0,4,0,1,-12,0,1,3,0,-0.00142210207358038,0.0001317052176195001,0.0012725407985733764,-1.7856057387503508e-05,0.5205385572422598,1,12,0.5205385572422598,37.097000817956314
0,4,0,1,-12,1,1,3,-1,-0.00142210207358038,0.0001317052176195001,0.0012725407985733764,-1.7856057387503508e-05,-0.5205385572422598,1,12,0.5205385572422598,37.097000817956314
0,6,0,1,-12,-1,1,5,1,-0.0018886592089966776,0.0001317052176195001,0.001734103264389586,-2.2850726987591477e-05,-0.6910208659176708,1,12,0.6910208659176708,52.432836587261015
0,6,0,1,-12,0,1,5,0,-0.0018886592089966776,0.0001317052176195001,0.001734103264389586,-2.2850726987591477e-05,0.6910208659176708,1,12,0.6910208659176708,52.432836587261015
0,6,0,1,-12,1,1,5,-1,-0.0018886592089966776,0.0001317052176195001,0.001734103264389586,-2.2850726987591477e-05,-0.6910208659176708,1,12,0.6910208659176708,52.432836587261015
0,7,0,1,-12,-1,1,6,1,-0.0021204201710575787,0.0001317052176195001,0.0019747070189232627,-1.40079345148157e-05,-0.7307832830749686,1,12,0.7307832830749686,102.84811845159061
0,7,0,1,-12,0,1,6,0,-0.0021204201710575787,0.0001317052176195001,0.0019747070189232627,-1.40079345148157e-05,0.7307832830749686,1,12,0.7307832830749686,102.84811845159061
0,7,0,1,-12,1,1,6,-1,-0.0021204201710575787,0.0001317052176195001,0.0019747070189232627,-1.40079345148157e-05,-0.7307832830749686,1,12,0.7307832830749686,102.84811845159061
0,8,0,1,-12,-1,1,7,1,-0.002359676960396333,0.0001317052176195001,0.002215705167770865,-1.226657500596768e-05,-0.7674359356586816,1,12,0.7674359356586816,138.24781378089895
