l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a,n_m
0,8,1,-11,1,7,-0.002359676960396333,0.00014098639381203223,0.002215705167770865,-2.9853988134358883e-06,0.0012651726755574452,3
0,9,1,-11,1,8,-0.0026068407810123807,0.00014098639381203223,0.0024629844882008973,-2.8698989994512328e-06,0.0011009107346927004,3
0,10,1,-11,1,9,-0.002860347040788969,0.00014098639381203223,0.00271575402351329,-3.606623463646777e-06,0.0012609041533127962,3
0,11,1,-11,1,10,-0.0031193002476985927,0.00014098639381203223,0.002973321972018305,-4.9918818682557e-06,0.0016003210566019384,3
0,12,1,-11,1,11,-0.003382501686215069,0.00014098639381203223,0.003235253388057165,-6.261904345872087e-06,0.0018512642200273354,3
0,13,1,-11,1,12,-0.0036476888013760762,0.00014098639381203223,0.003499927798231137,-6.774609332907237e-06,0.0018572333611221283,3
0,14,1,-11,1,13,-0.003913251472813672,0.00014098639381203223,0.003765557199999308,-6.707879002331753e-06,0.001714144631116362,3
0,15,1,-11,1,14,-0.004178287363000028,0.00014098639381203223,0.004030932427920738,-6.368541267257229e-06,0.0015241989633486073,3
0,16,1,-11,1,15,-0.004442519754188167,0.00014098639381203223,0.004295690809337045,-5.842551039089185e-06,0.001315143513674001,3
0,17,1,-11,1,16,-0.004706014722882456,0.00014098639381203223,0.00455968102508798,-5.347303982443548e-06,0.0011362701345669186,3
0,18,1,-11,1,17,-0.0049693743676990434,0.00014098639381203223,0.004823167543880964,-5.22043000604662e-06,0.001050520572565319,3
0,19,1,-11,1,18,-0.005233627846213401,0.00014098639381203223,0.005087181893000314,-5.4595594010543175e-06,0.001043169205277823,3
0,20,1,-11,1,19,-0.005499828254476584,0.00014098639381203223,0.0053527772990706515,-6.064561593899925e-06,0.0011026819953811606,3
0,1,1,-10,1,-2,-0.000738948454077827,0.00015689169501995108,0.0006023269048774995,2.0270145819623595e-05,0.02743106871360843,3
0,4,1,-10,1,3,-0.00142210207358038,0.00015689169501995108,0.0012725407985733764,7.3304200129474355e-06,0.005154637032833991,3
0,5,1,-10,1,4,-0.0016579761203197167,0.00015689169501995108,0.0014878228371177796,-1.3261588181986061e-05,0.007998660547311597,3
0,6,1,-10,1,5,-0.0018886592089966776,0.00015689169501995108,0.001734103264389586,2.3357504128594664e-06,0.001236724127747906,3
0,7,1,-10,1,6,-0.0021204201710575787,0.00015689169501995108,0.0019747070189232627,1.1178542885635027e-05,0.005271852738535131,3
0,8,1,-10,1,7,-0.002359676960396333,0.00015689169501995108,0.002215705167770865,1.2919902394483047e-05,0.005475284376346587,3
0,9,1,-10,1,8,-0.0026068407810123807,0.00015689169501995108,0.0024629844882008973,1.3035402208467703e-05,0.005000459676484474,3
0,10,1,-10,1,9,-0.002860347040788969,0.00015689169501995108,0.00271575402351329,1.2298677744272159e-05,0.004299715233463355,3
0,11,1,-10,1,10,-0.0031193002476985927,0.00015689169501995108,0.002973321972018305,1.0913419339663236e-05,0.0034986754954785494,3
0,12,1,-10,1,11,-0.003382501686215069,0.00015689169501995108,0.003235253388057165,9.643396862046849e-06,0.0028509658698315558,3
0,13,1,-10,1,12,-0.0036476888013760762,0.00015689169501995108,0.003499927798231137,9.130691875011698e-06,0.0025031444216313575,3
0,14,1,-10,1,13,-0.003913251472813672,0.00015689169501995108,0.003765557199999308,9.197422205587183e-06,0.0023503274117403273,3
0,15,1,-10,1,14,-0.004178287363000028,0.00015689169501995108,0.004030932427920738,9.536759940661707e-06,0.0022824566891000704,3
0,16,1,-10,1,15,-0.004442519754188167,0.00015689169501995108,0.004295690809337045,1.0062750168829751e-05,0.0022650997014347853,3
0,17,1,-10,1,16,-0.004706014722882456,0.00015689169501995108,0.00455968102508798,1.0557997225475388e-05,0.002243511303553374,3
0,18,1,-10,1,17,-0.0049693743676990434,0.00015689169501995108,0.004823167543880964,1.0684871201872316e-05,0.002150144145171277,3
0,19,1,-10,1,18,-0.005233627846213401,0.00015689169501995108,0.005087181893000314,1.0445741806864618e-05,0.001995889297788388,3
0,20,1,-10,1,19,-0.005499828254476584,0.00015689169501995108,0.0053527772990706515,9.84073961401901e-06,0.0017892812572845602,3
