l_c,n_c,l_d,n_d,kappa_m0,kappa_max,m_max,n_m,refine
12,-57,12,-120,-0.8754086975502086,-1.5579544533845198,"(-12, 6, 6)",469,2
6,-27,18,-163,-0.30640581425750646,-0.5939791149687914,"(-1, -17, 18)",439,2
12,-57,16,-157,-0.5252855197737137,-0.9935631607336137,"(-4, -12, 16)",669,2
12,-57,14,-134,-0.5064221941756061,0.9346802452580093,"(-5, -9, 14)",569,2
12,-57,19,-181,-0.40011165763020723,0.7876101347553028,"(-4, -15, 19)",819,2
12,-57,7,-66,-1.8648984837317897,-3.3189376641683848,"(-12, 6, 6)",219,1
12,-57,13,-129,-0.6889606234450494,1.2335587227614853,"(-6, -7, 13)",511,2
12,-57,19,-185,-0.3909625987969739,0.7696004334054585,"(-4, -15, 19)",819,2
6,-27,6,-57,-0.47431916211387487,-0.7209027132955159,"(-6, 3, 3)",127,2
6,-27,19,-172,-0.2564141867075683,0.49870833319962254,"(-1, -18, 19)",465,2
12,-57,14,-138,-0.5336334862003871,0.9849028804347825,"(-5, -9, 14)",569,2
12,-57,18,-176,-0.47478964325477824,-0.930148418368239,"(-4, -14, 18)",769,2
12,-57,25,-241,-0.22851645766107237,-0.48079702329882285,"(-3, -22, 25)",1119,2
12,-57,10,-93,-1.7323076512678333,-3.082967335688347,"(-12, 6, 6)",369,1
6,-27,24,-216,-0.25493732911385414,0.528439325270877,"(0, -24, 24)",595,2
12,-53,6,-56,-4.568002665920213,-8.129620046452118,"(-12, 6, 6)",169,1
12,-57,17,-162,-0.44068605322216614,0.8525272821029157,"(-4, -13, 17)",719,2
12,-57,11,-103,-1.3563424057081848,-2.413866457119747,"(-12, 6, 6)",419,2
12,-57,21,-200,-0.30190687500565877,-0.6137366901331345,"(-3, -18, 21)",919,1
12,-57,23,-219,-0.24339204327987354,-0.5071662464179939,"(-3, -20, 23)",1019,2
12,-57,11,-102,-1.6004852675295602,-2.848364606271179,"(-12, 6, 6)",419,2
6,-27,4,-39,-1.1756909765872148,-1.7868955815352114,"(-6, 3, 3)",71,1
12,-57,13,-124,-0.6455036863607795,1.155750671066522,"(-6, -7, 13)",511,1
12,-57,8,-76,-1.2547104902681676,-2.2329933452705437,"(-12, 6, 6)",269,1
12,-57,15,-148,-0.534143858008432,-0.9975751264638666,"(-5, -10, 15)",619,1
12,-57,12,-113,-1.0498958748981664,-1.8684872088488838,"(-12, 6, 6)",469,2
6,-10,18,-67,0.14255997024982756,0.2763578268387762,"(-1, -17, 18)",439,1
12,-57,22,-213,-0.2569313900051317,0.5299794372280319,"(-3, -19, 22)",969,2
6,-27,16,-146,-0.35077529593407336,-0.6710997476651729,"(-1, -15, 16)",387,2
12,-57,17,-167,-0.49144729154612354,0.9507272142952273,"(-4, -13, 17)",719,1
12,-57,12,-121,-0.9405160460301506,-1.673825227568329,"(-12, 6, 6)",469,2
12,-57,18,-171,-0.43823949481757973,-0.8585439441701066,"(-4, -14, 18)",769,2
6,-27,22,-199,-0.2534360919371836,0.5050871122703016,"(0, -22, 22)",543,2
6,-27,15,-137,-0.25668738694462856,0.4857232583152204,"(-1, -14, 15)",361,1
12,-57,21,-204,-0.3019524893166401,-0.6138294179858721,"(-3, -18, 21)",919,2
12,-57,11,-101,-1.6442983987327502,-2.926338315083725,"(-12, 6, 6)",419,1
12,-57,24,-232,-0.23938306836067536,0.5020191024598722,"(-3, -21, 24)",1069,2
6,-27,8,-74,-0.3861661966070798,0.6261240275581544,"(-2, -6, 8)",179,1
12,-57,15,-143,-0.4395759770766851,-0.8209587255346436,"(-5, -10, 15)",619,2
12,-57,24,-228,-0.2298249735095058,0.4819744675938045,"(-3, -21, 24)",1069,2
12,-57,7,-65,-1.777979475244222,-3.16424893793581,"(-12, 6, 6)",219,1
12,-57,16,-152,-0.4742828337221624,-0.8970929782296077,"(-4, -12, 16)",669,1
12,-53,8,-74,-1.4904832003084785,-2.6525952347899837,"(-12, 6, 6)",269,1
12,-57,20,-195,-0.33679417740904116,0.671157953348279,"(-3, -17, 20)",869,2
8,-37,4,-40,-5.385177923150599,-8.727528790516322,"(-8, 4, 4)",81,1
6,-27,17,-155,-0.32013103081729555,0.6172917616731439,"(-1, -16, 17)",413,1
12,-53,13,-118,-0.7390496694379524,1.3232413221680897,"(-6, -7, 13)",511,2
12,-57,14,-133,-0.5400250402020179,0.9966994788669407,"(-5, -9, 14)",569,2
