gyre [9.1.1]
------------

OpenMP Threads   : 12
Input filename   : gyre_ad_wide_hi.in

Model Init
----------

Reading from MESA file
   File name ../mesa/LOGS/profile331.data.GYRE
   File version 1.01
   Read 7137 points
   No need to add central point

Mode Search
-----------

Mode parameters
   l : 16
   m : 0

Building frequency grid (REAL axis)
   added scan interval :  0.5234E+00 ->  0.2094E+01 (3000 points, INVERSE)

Building spatial grid
   Scaffold grid from model
   Split 266 subinterval(s) in iteration 1
   Split 25 subinterval(s) in iteration 2
   Split 0 subinterval(s) in iteration 3
   Final grid has 1 segment(s) and 7428 point(s):
      Segment 1 : x range 0.0000 -> 1.0012 (1 -> 7428)

Starting search (adiabatic)

Scanning frequencies
  Time elapsed :     2.085 s

Finding roots
  Time elapsed :      0.429 s

Processing modes
   id    l     m    n_pg    n_p    n_g       Re(omega)       Im(omega)        chi n_iter
  129   16     0     -53      0     53  0.16948170E+01  0.00000000E+00 0.4723E-13      6
  Time elapsed :      1.311 s

Mode Search
-----------

Mode parameters
   l : 17
   m : 0

Building frequency grid (REAL axis)
   added scan interval :  0.5234E+00 ->  0.2094E+01 (3000 points, INVERSE)

Building spatial grid
   Scaffold grid from model
   Split 270 subinterval(s) in iteration 1
   Split 26 subinterval(s) in iteration 2
   Split 0 subinterval(s) in iteration 3
   Final grid has 1 segment(s) and 7433 point(s):
      Segment 1 : x range 0.0000 -> 1.0012 (1 -> 7433)

Starting search (adiabatic)

Scanning frequencies
  Time elapsed :     0.842 s

Finding roots
  Time elapsed :      0.161 s

Processing modes
   id    l     m    n_pg    n_p    n_g       Re(omega)       Im(omega)        chi n_iter
  163   17     0    -170      0    170  0.59273660E+00  0.00000000E+00 0.5800E-12      5
  164   17     0    -169      0    169  0.59608655E+00  0.00000000E+00 0.2238E-12      5
  165   17     0    -168      0    168  0.59976319E+00  0.00000000E+00 0.1873E-12      6
  166   17     0    -167      0    167  0.60341163E+00  0.00000000E+00 0.6317E-12      6
  167   17     0    -166      0    166  0.60678840E+00  0.00000000E+00 0.4967E-13      6
  168   17     0    -165      0    165  0.61032443E+00  0.00000000E+00 0.3842E-12      5
  169   17     0    -164      0    164  0.61420412E+00  0.00000000E+00 0.1150E-12      6
  170   17     0    -163      0    163  0.61801644E+00  0.00000000E+00 0.8155E-13      6
  171   17     0    -162      0    162  0.62150755E+00  0.00000000E+00 0.2357E-12      6
  172   17     0    -161      0    161  0.62522239E+00  0.00000000E+00 0.3382E-12      5
  173   17     0    -160      0    160  0.62932548E+00  0.00000000E+00 0.3974E-12      6
  174   17     0    -159      0    159  0.63333584E+00  0.00000000E+00 0.2458E-12      6
  175   17     0    -158      0    158  0.63698639E+00  0.00000000E+00 0.3762E-12      5
  176   17     0    -157      0    157  0.64089804E+00  0.00000000E+00 0.3728E-12      5
  177   17     0    -156      0    156  0.64522642E+00  0.00000000E+00 0.2626E-12      5
  178   17     0    -155      0    155  0.64943186E+00  0.00000000E+00 0.3176E-12      6
  179   17     0    -154      0    154  0.65323275E+00  0.00000000E+00 0.3334E-12      5
  180   17     0    -153      0    153  0.65735507E+00  0.00000000E+00 0.1254E-14      5
  181   17     0    -152      0    152  0.66193956E+00  0.00000000E+00 0.1176E-12      5
  182   17     0    -151      0    151  0.66638955E+00  0.00000000E+00 0.2405E-12      6
  183   17     0    -150      0    150  0.67038085E+00  0.00000000E+00 0.3540E-12      5
  184   17     0    -149      0    149  0.67470408E+00  0.00000000E+00 0.1044E-12      5
  185   17     0    -148      0    148  0.67952753E+00  0.00000000E+00 0.3131E-12      6
  186   17     0    -147      0    147  0.68419858E+00  0.00000000E+00 0.8282E-13      6
  187   17     0    -146      0    146  0.68840364E+00  0.00000000E+00 0.4345E-12      5
  188   17     0    -145      0    145  0.69299430E+00  0.00000000E+00 0.1569E-12      5
  189   17     0    -144      0    144  0.69808893E+00  0.00000000E+00 0.1938E-12      6
  190   17     0    -143      0    143  0.70298809E+00  0.00000000E+00 0.2030E-12      6
  191   17     0    -142      0    142  0.70741789E+00  0.00000000E+00 0.8305E-13      5
  192   17     0    -141      0    141  0.71229941E+00  0.00000000E+00 0.1644E-12      5
  193   17     0    -140      0    140  0.71767655E+00  0.00000000E+00 0.7687E-12      6
  194   17     0    -139      0    139  0.72279671E+00  0.00000000E+00 0.1848E-12      6
  195   17     0    -138      0    138  0.72747033E+00  0.00000000E+00 0.2798E-12      5
  196   17     0    -137      0    137  0.73269934E+00  0.00000000E+00 0.3414E-12      5
  197   17     0    -136      0    136  0.73841305E+00  0.00000000E+00 0.5502E-12      6
  198   17     0    -135      0    135  0.74378848E+00  0.00000000E+00 0.2972E-13      6
  199   17     0    -134      0    134  0.74868997E+00  0.00000000E+00 0.4053E-12      5
